,Frame_NUM,player1_stroks,player1_stroks_type
0,16,serve,cross
1,105,serve and returned,cross
2,313,backhand,straight
3,422,serve and returned,cross
4,561,backhand,cross
5,733,backhand,straight
6,897,backhand,cross
7,1087,serve and returned,cross
8,1199,serve and returned,cross
9,1321,serve and returned,cross
10,1411,serve and returned,cross
11,1538,backhand,straight
12,1681,forehand,straight
13,1841,backhand,cross
14,2007,backhand,cross
15,2341,forehand,cross
16,2438,serve and returned,cross
17,2546,backhand,cross
18,2750,forehand,cross
19,2848,serve,straight
20,2892,serve and returned,cross
21,2969,serve and returned,cross
22,3111,backhand,straight
23,3264,forehand,cross
24,3557,forehand,straight
25,3728,serve and returned,cross
26,3877,forehand,cross
27,3954,serve and returned,cross
28,4139,serve,cross
29,4221,serve,cross
30,4294,serve and returned,cross
31,4420,backhand,cross
32,4573,serve and returned,cross
